Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment,Prediction
4964.669982,20907572770,87480091527.0,17620525,17620525,-0.28,4.32,22.26,4938.29,4938.29,4938.29,19-04-03-11-18,0.10211188300000001,4984.0024
4959.969491,20890615501,87397266420.0,17620525,17620525,-0.35,4.21,22.14,4938.29,4938.29,4938.29,19-04-03-11-19,0.108375159,4984.292
4959.969491,20890615501,87397266420.0,17620525,17620525,-0.35,4.21,22.14,4941.23,4941.23,4941.23,19-04-03-11-20,0.104840821,4984.651
4959.94292,20884048637,87396798226.0,17620525,17620525,-0.35,4.21,22.14,4941.23,4941.23,4941.23,19-04-03-11-21,0.087987211,4985.0396
4959.94292,20884048637,87396798226.0,17620525,17620525,-0.35,4.21,22.14,4941.78,4941.78,4941.78,19-04-03-11-22,0.08547125900000001,4985.4175
4959.94292,20884048637,87396798226.0,17620525,17620525,-0.35,4.21,22.14,4943.19,4943.19,4943.19,19-04-03-11-23,0.08547125900000001,4985.7656
4958.70269,20893027824,87374944721.0,17620525,17620525,-0.33,4.17,22.11,4942.85,4942.85,4942.85,19-04-03-11-24,0.087817176,4986.071
4958.70269,20893027824,87374944721.0,17620525,17620525,-0.33,4.17,22.11,4944.78,4944.78,4944.78,19-04-03-11-25,0.07275965,4986.318
4960.1852149999995,20891312081,87401067586.0,17620525,17620525,-0.3,4.2,22.14,4946.36,4946.36,4946.36,19-04-03-11-26,0.064664631,4986.4893
4960.1852149999995,20891312081,87401067586.0,17620525,17620525,-0.3,4.2,22.14,4949.5,4949.5,4949.5,19-04-03-11-27,0.029035221,4986.5854
4960.1852149999995,20891312081,87401067586.0,17620525,17620525,-0.3,4.2,22.14,4954.43,4954.43,4954.43,19-04-03-11-28,0.008166972,4986.622
4963.352032,20913218385,87456868556.0,17620525,17620525,-0.15,4.25,22.22,4954.43,4954.43,4954.43,19-04-03-11-29,-0.003682065,4986.643
4963.352032,20913218385,87456868556.0,17620525,17620525,-0.15,4.25,22.22,4949.81,4949.81,4949.81,19-04-03-11-30,-0.022368142999999997,4986.6924
4965.424027,20920475865,87493378205.0,17620525,17620525,-0.11,4.29,22.27,4947.1,4947.1,4947.1,19-04-03-11-31,-0.043632828,4986.8
4965.424027,20920475865,87493378205.0,17620525,17620525,-0.11,4.29,22.27,4947.01,4947.01,4947.01,19-04-03-11-32,-0.047049495,4986.98
4965.424027,20920475865,87493378205.0,17620525,17620525,-0.11,4.29,22.27,4949.25,4949.25,4949.25,19-04-03-11-33,-0.040716162,4987.245
4968.965856,20913083676,87555787096.0,17620525,17620525,0.03,4.35,22.35,4950.79,4950.79,4950.79,19-04-03-11-34,-0.023080144,4987.583
4968.965856,20913083676,87555787096.0,17620525,17620525,0.03,4.35,22.35,4950.79,4950.79,4950.79,19-04-03-11-35,-0.018487471999999998,4987.958
4969.087125,20920307810,87557923920.0,17620525,17620525,0.04,4.35,22.35,4957.39,4957.39,4957.39,19-04-03-11-36,-0.0016471379999999998,4988.3223
4969.087125,20920307810,87557923920.0,17620525,17620525,0.04,4.35,22.35,4959.15,4959.15,4959.15,19-04-03-11-37,-0.003979076,4988.642
4969.087125,20920307810,87557923920.0,17620525,17620525,0.04,4.35,22.35,4958.71,4958.71,4958.71,19-04-03-11-38,-0.013563667,4988.8916
4964.415973,20951535495,87475615756.0,17620525,17620525,-0.01,4.23,22.23,4960.9,4960.9,4960.9,19-04-03-11-39,0.015243956999999999,4989.073
4964.415973,20951535495,87475615756.0,17620525,17620525,-0.01,4.23,22.23,4960.9,4960.9,4960.9,19-04-03-11-40,0.05709794,4989.2163
4970.569958,20975188695,87584052207.0,17620525,17620525,0.11,4.36,22.38,4955.03,4955.03,4955.03,19-04-03-11-41,0.045697705,4989.315
4970.569958,20975188695,87584052207.0,17620525,17620525,0.11,4.36,22.38,4961.16,4961.16,4961.16,19-04-03-11-42,0.053456484000000005,4989.3257
4970.569958,20975188695,87584052207.0,17620525,17620525,0.11,4.36,22.38,4961.16,4961.16,4961.16,19-04-03-11-43,0.05696816,4989.258
4981.689928,20988293117,87779991912.0,17620525,17620525,0.37,4.58,22.65,4965.68,4965.68,4965.68,19-04-03-11-44,0.077760462,4989.1445
4981.689928,20988293117,87779991912.0,17620525,17620525,0.37,4.58,22.65,4965.29,4965.29,4965.29,19-04-03-11-45,0.086979215,4989.0273
4976.796194,21021228000,87693761761.0,17620525,17620525,0.27,4.48,22.53,4963.1,4963.1,4963.1,19-04-03-11-46,0.064125689,4988.9556
4976.796194,21021228000,87693761761.0,17620525,17620525,0.27,4.48,22.53,4958.01,4958.01,4958.01,19-04-03-11-47,0.021526876,4988.975
4976.796194,21021228000,87693761761.0,17620525,17620525,0.27,4.48,22.53,4952.3,4952.3,4952.3,19-04-03-11-48,0.026320068999999998,4989.139
4978.9902409999995,21016234001,87732422015.0,17620525,17620525,0.33,4.52,22.58,4952.25,4952.25,4952.25,19-04-03-11-49,0.045011853,4989.517
4978.9902409999995,21016234001,87732422015.0,17620525,17620525,0.33,4.52,22.58,4951.94,4951.94,4951.94,19-04-03-11-50,0.043965066,4990.1265
4978.9902409999995,21016234001,87732422015.0,17620525,17620525,0.33,4.52,22.58,4952.15,4952.15,4952.15,19-04-03-11-51,0.048598335,4990.9243
4980.91629,21020235838,87766360007.0,17620525,17620525,0.37,4.56,22.63,4950.96,4950.96,4950.96,19-04-03-11-52,0.080218393,4991.849
4980.91629,21020235838,87766360007.0,17620525,17620525,0.37,4.56,22.63,4952.15,4952.15,4952.15,19-04-03-11-53,0.07589147,4992.837
4976.160346,21006895074,87682557783.0,17620525,17620525,0.28,4.45,22.5,4949.12,4949.12,4949.12,19-04-03-11-54,0.080235557,4993.808
4976.160346,21006895074,87682557783.0,17620525,17620525,0.28,4.45,22.5,4950.79,4950.79,4950.79,19-04-03-11-55,0.077742025,4994.718
4976.160346,21006895074,87682557783.0,17620525,17620525,0.28,4.45,22.5,4950.79,4950.79,4950.79,19-04-03-11-56,0.089976728,4995.5366
4975.28902,20971385412,87667204565.0,17620525,17620525,0.26,4.43,22.48,4953.86,4953.86,4953.86,19-04-03-11-57,0.088974054,4996.254
4975.28902,20971385412,87667204565.0,17620525,17620525,0.26,4.43,22.48,4953.43,4953.43,4953.43,19-04-03-11-58,0.107817527,4996.861
4963.836086,20972046046,87465397858.0,17620525,17620525,0.01,4.18,22.2,4953.43,4953.43,4953.43,19-04-03-11-59,0.100843658,4997.3584
4963.836086,20972046046,87465397858.0,17620525,17620525,0.01,4.18,22.2,4951.9,4951.9,4951.9,19-04-03-12-00,0.10927211199999999,4997.736
4963.836086,20972046046,87465397858.0,17620525,17620525,0.01,4.18,22.2,4951.9,4951.9,4951.9,19-04-03-12-01,0.087672271,4997.9756
4964.544821,20969329559,87477886138.0,17620525,17620525,0.03,4.19,22.21,4951.87,4951.87,4951.87,19-04-03-12-02,0.089006263,4998.054
4964.544821,20969329559,87477886138.0,17620525,17620525,0.03,4.19,22.21,4955.0,4955.0,4955.0,19-04-03-12-03,0.08556964,4997.9805
4966.396657,20812535159,87510516449.0,17620525,17620525,0.07,4.22,22.25,4953.93,4953.93,4953.93,19-04-03-12-04,0.090489074,4997.771
4966.396657,20812535159,87510516449.0,17620525,17620525,0.07,4.22,22.25,4953.93,4953.93,4953.93,19-04-03-12-05,0.09403951599999999,4997.444
4966.396657,20812535159,87510516449.0,17620525,17620525,0.07,4.22,22.25,4956.6,4956.6,4956.6,19-04-03-12-06,0.099644472,4997.016
4966.058252000001,20809174687,87504553588.0,17620525,17620525,0.06,4.21,22.25,4956.8,4956.8,4956.8,19-04-03-12-07,0.076710109,4996.503
4966.058252000001,20809174687,87504553588.0,17620525,17620525,0.06,4.21,22.25,4958.5,4958.5,4958.5,19-04-03-12-08,0.085523406,4995.9175
